x,z
[JIT] cannot access to initialized attribute in script-annotated class __getitem__,"Ugh, this is because Python's` inspect` returns members in name order instead of definition order.\r\n\r\nThe only method for which definition order matters is `__init__`, since it initializes the class's attributes. As a temporary workaround, try defining a method that does not precede \""__init__\"" in token order. \r\n\r\nThe longer term fix is simple enough—we should special-case `__init__` to be compiled first."
Tensor To OpenCV - C++,"Something like this?\r\nI stripped cuda usages out.\r\n```C++\r\n // Convert a char/float mat to torch Tensor\r\n torch::Tensor matToTensor(const cv::Mat &image)\r\n {\r\n bool isChar = (image.type() & 0xF) < 2;\r\n std::vector<int64_t> dims = {image.rows, image.cols, image.channels()};\r\n return torch::from_blob(image.data, dims, isChar ? torch::kChar : torch::kFloat).to(torch::kFloat);\r\n }\r\n\r\n cv::Mat tensorToMat(const torch::Tensor &tensor)\r\n {\r\n auto sizes = tensor.sizes();\r\n return cv::Mat{sizes[0], sizes[1], CV_32FC(sizes[2]), tensor.data()};\r\n }\r\n```\r\nDon't see any bugs there. Should probably be on forum instead.\r\nNot sure why you are splitting the channels and joining them back together. You can always permute your tensor if you want to move the channel ordering.\r\nConverting to float should just be: `.to(torch::kFloat);`"
torch.jit.trace returns unwrapped C type,"@NeilWangziyu You could also consider trying building PyTorch from source, if nightly doesn't work for you. Saving should definitely work now. @driazati added it 2 months ago in this PR: #20386"
CosineAnnealingWarmRestarts documentation poor and not appearing,"Hi, @jcreinhold\r\nI also wondered why it did not appear. Sorry for the poor doc after deciding to change name form SGDR to CosineAnnealingWarmRestarts.\r\nAbout the usage `LR should be updated every batch, not epoch`, `step()` without argument is set to epoch update, you can give an argument for a batch update. For example, if you have 15 training examples and batch size is 4, so there would be 4 iterations in an epoch. You could call step(0 + 0 / 4) for the epoch 0 and first batch update, step(0 + 1 / 4) for the epoch 0 and second batch update.\r\nSo the code might be modified to \r\n```\r\n\""\""\""Step should be called after every time a batch is processed in addition to after each epoch,\r\n like in the following example:\r\n\r\n >>> scheduler = CosineAnnealingWarmRestarts(optimizer, T_0, T_mult)\r\n >>> iters = len(trainloader)\r\n >>> for epoch in range(N):\r\n >>> for i, (inputs, labels) in enumerate(trainloader):\r\n >>> scheduler.step(epoch + i / iters)\r\n >>> optimizer.zero_grad()\r\n >>> outputs = net(inputs)\r\n >>> loss = criterion(outputs, labels)\r\n >>> loss.backward()\r\n >>> optimizer.step()\r\n\r\n\""\""\""\r\n```\r\n"
"I can't import PyTorch, libomp.dylib can't be loaded.",`brew install libomp` solves the problem.
Slow distributed training,"After using OMP_NUM_THREADS=1, the speed is back to normal. Thanks, @VitalyFedyunin."
SegFault and other errors on instantiating subclass of torch.FloatTensor and torch.Tensor,This looks complete after https://github.com/pytorch/pytorch/pull/20283.
[JIT] LSTMCell still not speedup with 1.1.0,fwiw running this on a master build with some warmup iters gives me numbers like\r\n```\r\n0.0015532950055785477\r\n0.001382627000566572\r\n```
RuntimeError: _th_uniform_ not supported on CPUType for Long,"You may have been getting this error if you were using a function besides `zeroes`. I imagine many people ended up here for that reason, so just in case: Like @CoruNethron said, the `dtype` argument that you probably grabbed from the [60-Minute Blitz Tutorial](https://pytorch.org/tutorials/beginner/blitz/tensor_tutorial.html#sphx-glr-beginner-blitz-tensor-tutorial-py) is meant for the `zeros` function specifically.\r\n\r\n`x = torch.zeros(5, 3, dtype=torch.long)`\r\n\r\nIf you try to use it with `rand` for instance, you'll get the following error:\r\n\r\n`RuntimeError: _th_uniform_ not supported on CPUType for Long`"
Unable to compile an older version of PyTorch,Try `git submodule sync` and then `git submodule update --init`?
torch.arange always generate constant result in tracing,"Hi @lara-hdr, \r\n\r\nDo you mind linking to where you set `traceable=true` exactly? I'm not too familiar with that part of the code base.\r\n\r\n@zou3519 do you know why this has to be implemented in the python arg parser? it's also a schematized aten op. \r\n\r\n\r\n\r\n"
How to add dynamically allocated strings to Pickler?,cc @driazati
Unable to import 1.1 when installing with pip,Probably duplicate of #20030\r\ntry `brew install libomp `
Is the `device=` parameter required in torch.FloatTensor and similar ones,"`torch.FloatTensor` is a legacy constructor and doesn't support all types.\r\nTo answer your question, i think `torch.cuda.FloatTensor` might be what you are looking for -- but please dont use either. Just use `torch.empty(..., device='cuda')`"
[FR] Warn if scheduler.step() is called but optim.step has not been called,Why did that change??
NCCL hang in PyTorch Distributed Data Parallel for Mixed Precision Training,"I ran with n_procs=1 and suddenly a magic new error message appeared telling me to try adding `find_unused_parameters=True` to `DistributedDataParallel`. When I did that, it worked! Thank you for good error messages!!!"
[FR] make IncompatibleKeys print nicer when there is no error,@designnner This is not an error. It's just the `repr` that isn't ideal. Feel free to ignore.
GRUcell has a wrong formula,"either is fine, because it's all about semantics of z. that is, if z is considered an update gate, z * n makes sense, while (1-z)* n makes sense if we think of z as a leaky coefficient. in the end, they are equivalent."
TensorBoard logging requires TensorBoard with Python summary writer installed. This should be available in 1.14 or above,I think it's a version problem.\r\njust run this:\r\n`pip install tensorboard==1.14.0`\r\n(not pip install tensorboard==1.14)
TripletMarginLoss example isn't clear,
Building from source error: command 'gcc' failed with exit status 1,I have the same problem (`error: expected ')' before 'PRId64'` etc.) with gcc 4.8.5 on Linux with the current head ( 02450fff3)\r\n\r\nWhat works for me is to add `#define __STDC_FORMAT_MACROS` at the beginning of the following four files:\r\n* torch/csrc/Storage.cpp\r\n* torch/csrc/Tensor.cpp\r\n* torch/csrc/cuda/Storage.cpp\r\n* torch/csrc/cuda/Tensor.cpp\r\n\r\n(see also https://github.com/pytorch/pytorch/compare/master...andreh7:2017-11-10-prid64-fix -- this can be turned into a pull request very easily)\r\n\r\nThis fix is the same as #3574 but for different files. \r\n\r\n 
,
RuntimeError when using DistributedDataParallel,"I encountered this error message when using multiple multi-gpu machines. It did not occur when using a single multi-gpu machine - albeit with DataParallel, not DistributedDataParallel - nor when using multiple single-gpu machines (also didn't occur when using multi-gpu machines with ``CUDA_VISIBLE_DEVICES=1`` on both). I didn't try combinations of single- and multi- gpu as the OP here felt that caused his problem. PyTorch version 0.3.0.post4.\r\n\r\nI solved the problem by deleting a ``nn.Linear`` that I assigned to an attribute during the ``__init__`` of a custom ``nn.Module`` but never used during ``forward``.\r\n\r\nIMO this case deserves a better error message or should be documented with DistributedDataParallel.\r\n\r\nThanks!"
gradients of index_select wrong on GPU,
GPU Memory Leak at Master Branch,"Closing since this issue is stale, please reopen with a repro script if you still see the memory leak."
0.3 release checklist,
Support view() on batch dimensions for non-contiguous tensors?,"There's a good reason for the `view` invariant - most of such reshapes are impossible to pull off using stride tricks if then tensor isn't contiguous. On the other hand, making it contiguous inside `view` would mean that sometimes the returned tensor shares storage with input, and sometimes doesn't. This is important for cases like these: `x.view(-1)[::x.size(1) + 1] += c` (add `c` to diagonal of matrix `x`). If you know/suspect that tensors might sometimes be non-contiguous just add `.contiguous()` before `.view()` it's a no-op if the tensor already is contiguous"
Slight memory leak for LSTM,"Thanks @ngimel !

I'll close this issue for now. If you see this issue, please upgrade to cudnn 7.1+, driver 384.69+.

@Evpok @jiesutd @bangbangjim See above."
"Bug in build scripts, outdated existing PyTorch headers are picked up",
Error in nll_loss - multi-target not supported,"CrossEntropyLoss takes a 1D tensor. If your `target` has size `(32, 1)`, you need to squeeze the last dimension with `target.squeeze(1)` so it becomes a 1D tensor."
softmax doesn't support negative dimensions,if it didn't support negative dims in 0.2.0 then i wont mark it as a release blocker for 0.3
torch.load() requires model module in the same folder,PyTorch internally uses pickle and it's a limitation of pickle. You can try meddling with `sys.path` to include the directory where `module.py` is. This is exactly why we recommend saving only the state dicts and not whole model objects.
Pytorch AssertionError: Torch not compiled with CUDA enabled,"you are running this on OSX. The OSX binary of PyTorch does not come with GPU support.\r\n\r\nThe code you linked to still has some GPU stuff remaining (as you see from the stack-trace.\r\n\r\nChange these two lines to get_iterator:\r\nhttps://github.com/eladhoffer/captionGen/blob/48552694775ef11f5fa68c100584f40d98e4b690/main.py#L96\r\n\r\n`get_iterator(..., pin_memory=False)`\r\n"
Sampled Softmax / Log-Uniform Sampler - Google Billion Word Language Model,
Variable methods which need to change before we combine Variable and Tensor,"We have additional work to do before we can combined Variable and Tensor, but all these methods are implemented."
"using torch.utils.data.Dataset to make my dataset, find the index is out of the len defined in the __len__","This confirms my worst fears, python allows for pathologic iterables that have a length but never end... The fact that the `reversed` trick works is even weirder from a logical point of view: Reversing an infinite iterable results in a finite iterable... :woozy_face:\r\n\r\nAfter digging a bit through the [python reference](https://docs.python.org/3/reference/datamodel.html#object.__getitem__), the intended way of handling this is by raising an `IndexError` from `__getitem__` for invalid indices. Upon encountering this, the for loop will stop automagically. Changing my above example like below makes the iteration work as expected\r\n\r\n```python\r\nfrom torch.utils.data import Dataset\r\n\r\nclass TestDataset(Dataset):\r\n def __init__(self):\r\n super().__init__()\r\n\r\n def __getitem__(self, i):\r\n if i < 0 or i >= len(self): # These two lines\r\n raise IndexError() # are new\r\n return 0\r\n\r\n def __len__(self):\r\n return 10\r\n\r\n\r\ndataset = TestDataset()\r\nfor i, data in enumerate(dataset):\r\n print(i)\r\n assert i < len(dataset)\r\n```\r\n\r\nI believe this issue can be closed, as it's not pytorch specific. (Of course, @minghuisvn you're free to object, as I kind of highjacked your issue thread :wink:)"
Windows source build fails with 'error LNK2019' at linking stage,"I found what causing the problem, and wanted to inform you since it might be useful. `BUILD_TEST=0` variable is causing this problem at linking stage. If that not being set it builds successfully."
Complex-valued symmetric eigendecomposition,Upvote for the eigen decomposition for Hermitian inputs. I could work on the backward part once forward is done.
Too few arguments to vulkanOptimizeForMobile(),The issue was fixed in https://github.com/pytorch/pytorch/pull/45052
CXXABI_* and GLIBCXX_* not found on gcc 4.8.2 after building Pre-cxx11 ABI Libtorch from source using gcc 5.4.0,"Can you share a few more details how you've built gcc-5.4.0?\r\nBy default, GCC is coupled with a version of `libstdc++`, but there is a way to configure the build to use version already available in the system path. \r\nOtherwise, it sort of expected behaviour: shared library/executable compiled against newer version of libstdc++ is not compatible with an old one.\r\n\r\nPyTorch binary is build using `devtoolset-7`, which can be installed using something like the following \r\nhttps://github.com/pytorch/builder/blob/589a615fc8a8ee24690a1037ba583d32f22bc3a3/manywheel/Dockerfile#L12-L14\r\n\r\nFollowing article describes process of installing newer toolchain on CentOS in a bit more detail: https://ahelpme.com/linux/centos7/how-to-install-new-gcc-and-development-tools-under-centos-7/"
nn.Module.script,PyText is replacing `ScriptVocab` with TorchText's `Vocab`. However we have to add this `to_ivalue` to our transforms in order to scriptify them because of this issue. It would be great if users like us don't need to add this additional function to all layers to keep our interface clean. Thanks! CC @hudeven
Add RMSE loss function,"Actually, there is probably no advantage in having RMSE as a loss function. It's more computationally expensive than MSE and I don't see how it can be helpful to compensate for that. What I actually wanted is ready-made RMSE metric, not a loss function. Not sure if having a library of metrics is in scope for pytorch, so feel free to close this if the issue is not useful."
Is there a typo in ReLU6 declaration ?,nope if you look at the documentation of `relu6` and `hardtanh` it's reasonable to do subclass. Closing since it's resolved.
DISABLED test_backward_ddp_inside (__main__.TensorPipeDdpUnderDistAutogradTestWithSpawn),Isn't this a duplicate of #45116?
DISABLED test_backward_ddp_outside (__main__.TensorPipeDdpUnderDistAutogradTestWithSpawn),Isn't this a duplicate of #45117?
Ellipsis support for view and reshape functions,"I'm afraid this could be an ill-defined operation in general (specially if mixed with `-1` reshaping).\r\n\r\nFor the most common cases of flattening only a subset of dimensions, we have `tensor.flatten(start, end)`, which IMO is a good compromise in veneral."
Static Quantized model accuracy varies greatly with Calibration data,"Using numeric suite I was able to debug and fix the issue.
Appreciate all your help and time."
"torch.svd has a RuntimeError \""copy_\"" not implemented for 'ComplexDouble' when the size of input matrix is larger than 60","Actually, there are two separate issue: incorrect invocation of LAPACK's `zgesdd` for `std::complex<double>` and indeed a missing dispatch for special copy op for transposed tensors"
test_linalg.py not run in CI,"Thanks for reporting this issue, @antocuni. I think you're right. I'll fix it."
test_nn.py returns inconsistent result in different test setup,"Here's a reliable reproduction\r\n```\r\nimport torch\r\n\r\ninput_channels = 3\r\noutput_channels = 3\r\nbatch_size = 2\r\ndepth=3\r\nheight = 5\r\nwidth = 5\r\nkernel = 1\r\nstride = 1\r\nwith torch.backends.mkldnn.flags(enabled=False):\r\n conv_op = torch.nn.Conv3d(\r\n input_channels,\r\n output_channels,\r\n kernel,\r\n bias=False, # No bias\r\n ).to(dtype=torch.double)\r\n input = torch.randn(batch_size, input_channels, depth, height, width, dtype=torch.double, requires_grad=True)\r\n out = conv_op(input)\r\n gO = torch.rand_like(out)\r\n out.backward(gO)\r\n print(conv_op.weight.grad)\r\n```\r\nThe issue is on cpu, not on cuda."
ONNX export of nn.interpolate scripted module is broken due to removal of aten::__interpolate op,This PR addressed the issue: #35744
Nightly builds for cp38 missing for non-windows targets,"Looks like we neglected to add them to `master`, submitted #34732 to remedy that"
Wrong Result when Converting Odd Integers Larger than 2^24 to Tensor,"This is expected, as it's a float32 limitation.\r\nFrom the [Wikipedia article](https://en.wikipedia.org/wiki/Single-precision_floating-point_format):\r\n> Integers between 0 and 16777216 can be exactly represented (also applies for negative integers between −16777216 and 0)\r\nIntegers between `2**24=16777216` and `2**25=33554432` round to a multiple of 2 (even number)\r\nIntegers between `2**25` and `2**26` round to a multiple of 4\r\n..."
torch.stft does not accept complex input,We will gladly accept PR implementing Complex support.
Building wheel for torch (setup.py) ... error - While running pip install torch,"You could not do `pip install torch` because the Windows packages are not hosted on PyPI. Instead, please enter the commands in https://pytorch.org."
AT_DISPATCH_FLOATING_TYPES_AND2 fails with ScalarType::Byte,PyTorch devs: we might want to ensure that the AT_DISPATCH macros work with all the built-in scalar types
load_state_dict_from_url error with weights downloaded from Google Drive ?,"That URL is not a PyTorch file (.pth). It's a webpage with a link to a PyTorch file.\r\n\r\nYou need a direct download URL. Google drive doesn't support that directly, but you can use something like https://sites.google.com/site/gdocs2direct/"
Support arbitrary types in jit,"We have support for classes in TorchScript, is there something in particular that's missing that you're looking for? NamedTuples are also supported. We also have other things like enum.Enum and @dataclass on our roadmap but no concrete timeline yet. We're also introducing a way to bind C++ classes into TorchScript in our next release."
[C++ API] Support for CIFAR10 and CIFAR100 Datasets,"Not yet, will try to add one by this weekend as an example"
max / min doesn't work on tensors with 0 elements,"Agreed that this should work. gh-38238 does look like it's going in the right direction but seems to have stalled. That PR followed up on gh-35062, which also stalled.\r\n\r\nSome shape checks are still missing in that PR, e.g. the PyTorch equivalents of:\r\n```\r\nIn [10]: x = np.ones((0, 3, 4)) \r\n\r\nIn [11]: np.max(x, axis=1) \r\nOut[11]: array([], shape=(0, 4), dtype=float64)\r\n\r\nIn [12]: np.max(x, axis=2) \r\nOut[12]: array([], shape=(0, 3), dtype=float64)\r\n```\r\nto make sure the fix doesn't unconditionally return a shape `(0,)` sized tensor.\r\n\r\n@willwray this seems like a good issue to work on and get it over the finish line."
Cannot use setup.py install,> ModuleNotFoundError: No module named 'past'\r\n\r\nModule `past` is part of `python3-future` package on Ubuntu (or just `pip3 install future`)
[Tensorboard] `RuntimeWarning: invalid value encountered in multiply` when calling `add_embedding` with `label_img`.,Thanks for tracking this down. A PR fixing this would be very welcome.
Gradient update of a sparse matrix results in a memory leak,We should investigate into this and provide a fix.
[Master Plan] Merge c10::ivalue::Future and torch::utils::Future<T>,"We have completely deleted torch/csrc/utils/future.h and are using c10::ivalue::Future across the RPC codebase now, so closing this out."
[v1.5.0] Release Tracker,"https://github.com/pytorch/pytorch/pull/35340 may be a candidate. Autocasting completes Pytorch's native automatic mixed precision support, which I've been writing for over 6 months now targeting 1.5. It has thorough documentation and test coverage. It was approved and merged already, but reverted for minor fixes.\r\n\r\nUpdate: PR against master https://github.com/pytorch/pytorch/pull/35102 has been re-merged and stuck the landing so far. https://github.com/pytorch/pytorch/pull/35340 cherry-picks those diffs onto 1.5 (+3 lines of cosmetic docstring changes).\r\n\r\n----------\r\n\r\nFeature, sorry :(. It's in nightlies though."
`torch.cat` should do type promotion,Can we please do simple fix to Raise error (as we need it in 1.5) and discuss type promotion after.
torch.cat is moving Tensors across devices silently,"One case (hopefully supported in future) where moving between devices makes sense:
`x = torch.cat([torch.rand(3, device = 'cuda'), 1])` for appending python scalars to a tensor"
Compilation error on aarch64,"I ran into the same issue on aarch64. I am able to work around it by downloading sleef 3.5.1, install it to system and set the USE_SYSTEM_SLEEF=ON flag.

Hope it helps"
Migrate `_cat` from the TH to Aten (CUDA),"While in general I favor reusing TensorIterator whenever possible, cuda implementation of cat seems like a very tricky case for it. The approach taken by cpu porting of cat to use TensorIterator cannot be directly reused in cuda (it would result in launching as many kernels as there are tensors, and that kills performance), and existing cat kernels are clever and flexible, reasonably efficiently handling the tensors of wildly differing sizes. So my recommendation here would be to reuse THC kernels. For benchmarks, I'd suggest 2 main usecases: catting large number (100-1000) of 1d tensors of very different sizes, this is typically encountered when flattening parameters of the model, and catting relatively small number (5-50) of similarly sized tensors across different dimensions."
Migrate `addmm` and `addmm_` from the TH to Aten (CUDA),"@Baranowski Yes, it's likely that the cluster of the matrix multiply / BLAS operations are most conveniently done all in one go. Check on prior work first."
[feature request] Allow `torch.unsqueeze` to insert multiple new dims,"@tshadley \r\n\r\n> ```\r\n> import torch\r\n> t_b = t[...,(None,)*3]\r\n> print(t_b.shape)\r\n> ```\r\n\r\nTo unsqueeze at the end, you could try to use `t_b = t[(..., ) + (None, ) * 3]` (works for me on version 1.1.0)."
[feature request] add `torch.find` to find the indices of values,"A not very optimized version of this function can be obtained with a one-liner I believe (for 1d `values`)\r\n```python\r\ndef find(tensor, values):\r\n return torch.nonzero(tensor[..., None] == values)\r\n```"
Segmentation Fault using dist.broadcast() with openmpi,"Actually I tested a simple cuda program doing MPI_Bcast/MPI_allreduce and confirmed that it also segfaults there with openmpi 1.10, while it works fine on openmpi 2.1+. I'm more inclined to a openmpi issue in this case. I will make a PR to add this warning to the doc I think."
.topk() returns incorrect values + indeces on non-contiguous tensors (CUDA),The reason this fails is `topk` needs contiguous inputs and the outputs of Beta.sample aren't.\r\nCan you retitle the bug report to that?\r\nI'll submit a PR to check contiguous in topk.
OOM when using Adam optimizer compared to SGD when using same batch size.,"Adam is more stateful than SGD, so it is expected that it uses more memory (proportional to the total size of the optimized parameters)."
PyTorch ImportError,"The reason I've ""access is denied"" is due to McAfee VirusScan Enterprise applying access protection policy. I do not know which operation of \torch_C.cp36-win_amd64.pyd is blocked. From the process monitor, I could see \torch_C.cp36-win_amd64.pyd is loaded and some operations have succeeded."
log_prob returns positive values for small cov,"The values of the `pdf` can be arbitrarily large but never negative. This is completely acceptable, and I am sure this is not a bug.\r\n\r\nSimple example: normal distribution with standard deviation = 0.000001 and mean = 0. The `pdf` at `x = 0` is `1000 / (2 * pi)`, and the natural log of this is clearly greater than 0."
"\""ImportError: No module named tools.setup_helpers.env\"" when \""python setup.py egg_info\""","Does it work if you do ""FULL_CAFFE2=1 python setup.py install"" instead?"
[bug] Multiplication of tensor with numpy scalar does not always work,"The problem is that the left operand is the default operand to execute the `__mul__`.\r\nThe numpy scalar's `__mul__` will then call the tensor's `__array__` and that fails (and there isn't a way out).\r\nThe solution seems to be to set a high `__array_priority__`, then the scalar (and an array) will call the Tensor's `__rmul__` instead.\r\nStandard numpy scalars have a strongly negative priority, standard ndarrays have one of 0.\r\nSo in case 2:\r\n```\r\ntensor.__array_priority__ = 1000\r\nprint (scalar * tensor)\r\n```\r\nworks!\r\n\r\nI'm happy to send a PR.\r\n"
git clone --recursive https://github.com/caffe2/caffe2.git gives error that Eigen repository is not found.,"Sorry, I did not realize you were trying to install detectron. It looks like detectron expects to find Caffe2 through find_package, which right now requires Caffe2 to be built from source. What's causing that error message is that a source build (through Caffe2's cmake) populates a ""Caffe2 target"" that tells other cmake projects (Detectron) where to find Caffe2. These extra cmake files aren't included in the pre-built packages because you shouldn't need cmake to install and use Caffe2.

When installing from source, do still read through https://caffe2.ai/docs/faq.html#why-do-i-get-import-errors-in-python-when-i-try-to-use-caffe2 and follow it's recommendations; it can save you from a lot of frustrating errors."
[docs] document torch.nn.functional.bilinear,"Oh, bilinear, I missed that last time I looked at it. I'll add a docstring."
[jit] support at::optional,cc @wanchaol \r\n\r\n@SsnL the nan is a temporary stopgap. I believe the end state is indeed to support `at::optional` or something similar.
Proposal: type promotion logic (torch.result_type),???
[distributions] dirichlet pathwise gradient does not work well with .expand,I think this should be closed now.
MarginRankingLoss with multiple examples per batch is broken,"Ok after reading the documentation more carefully I realized, that the target tensor has to be of the same shape as the inputs."
[feature request] Add option to return matched / unmatched / unexpected in `load_state_dict`,"After a lot of discussion, we decided not to move on with this proposal."
"RuntimeError: cuda runtime error (30) on Ubuntu18,CUDA9.1,cudnn7.0.5 when torch.cuda.is_available() returns True","maybe \""sudo python\"" can solve it"
CUDA 8 build failed on Windows,@cbecker Fixed in both master and v0.4.1. You can have a try.
Add python 3.7 to binary install page,"python 3.7 binaries are live on PyPI, conda and on https://pytorch.org"
Caffe2 Train your own image,"@aswin1980 Check out the \""CIFAR10_Part1\"" and \""CIFAR10_Part2\"" tutorials in the [caffe2/tutorials](https://github.com/caffe2/tutorials/) repo. Part 1 specifically shows how to take a custom image dataset (in this case .png mirror of the CIFAR-10 dataset), format it, create image LMDBs, and train a model on them."
Conda Install: PackageNotFoundError,@pjh5 \r\n\r\nUpdating conda to 4.5.4 and then running `conda create -n pytorch python=3` instead of `conda create -n pytorch anaconda` fixed it! I'm able to properly install pytorch now by running `conda install pytorch torchvision -c pytorch`. \r\n\r\nThanks for the help.
"Always get error \""ConnectionResetError: [Errno 104] Connection reset by peer\""","for me, I found set thread number equal 0 will solve this problem, namely:\r\nnum_workers=0\r\n"
[Bug] Segmentation fault when importing fastText (with v0.4.0),"For the record, the problem was:\r\n - in a conda environment, I installed pytorch with `conda install`(as described on pytorch web site) and fastText with `pip install .` from their git clone.\r\n - that resulted in a segfault when doing `import fastText` and `import torch` \r\n\r\nReason:\r\n - pytorch is compiled with gcc 4.9.2\r\n - conda's default gcc is 4.8.5\r\n\r\nFix:\r\n - install gcc-4.9 in conda (e.g. `conda install -c serge-sans-paille gcc_49`)\r\n - install pytorch with `conda install` (in my case, `conda install pytorch torchvision cuda90 -c pytorch`)\r\n - install fastText with gcc-4.9 compiler: `CC=gcc-4.9 pip install .` in the fastText git clone\r\n\r\nThat's it! Thanks a lot @weiyangfb and @SsnL for your help!"
How to set USE_OPENVB=ON and BUILD_CAFF2=ON when build from source,@Tianji95 this problem is outdated. The FULL_CAFFE2 flag no longer exists and is no longer needed.
"[feature request] torch.isinf, torch.isfinite","`torch.isinf` merged in, `torch.isfinite` not implemented yet"
cannot reload on CPU model saved on GPU,"When you do `torch.load(.....)`, set `torch.load(...., map_location='cpu')`. If you don't, since you are loading GPU tensors, PyTorch will try to reconstruct GPU tensors, and fail."
LinearLayer precision problem,???
setting CUDA_VISIBLE_DEVICES just has no effect,You need to do that before import pytorch.
[feature request] nn.Identity,You can use nn.Sequential() to simulate identity
DataParallel model stucks with CUDA_LAUNCH_BLOCKING=1 sometime,@acgtyrant we asked some NVIDIA engineers. Apparently NCCL doesn't really like CUDA_LAUNCH_BLOCKING
Big drop in performance for larger batch size for otherwise same training script,"You should tune different hyparams (e.g., lr) to accommodate different batch size. Some say that larger batch size requires larger lr too."
torch.save() and nn.DataParallel(),I usually do:\r\n```\r\ntry:\r\n state_dict = model.module.state_dict()\r\nexcept AttributeError:\r\n state_dict = model.state_dict()\r\n```
torch.Tensor.__repr__ is slow,This has been fixed in master. Here are my timings: ...
"[feature request] Convert \""indices\"" variable in \""torch.utils.data.dataset.random_split\"" to list",I think we can just add a .tolist() after the code in here. Could you send a PR?
problem building with ROCm,"There's a \""hipify\"" step to replace all the CUDA references with HIP/ROCm references in-place: \""python tools/amd_build/build_pytorch_amd.py\"". Also, don't forget to set env var USE_ROCM to 1. After that, you should be able to build using the normal \""python setup.py\"" step."
RNN weights are not Xavier-initialized,"Also, adding to @Kaixhin 's point, if you really want Xavier initialization, you could try initializing manually using `nn.init.xavier_uniform` / `nn.init.xavier_normal`."
"Sequential does not allow muti-output modules such as RNN, LSTM","As I said in forum, this is not a bug."
Error fluctuations with well-mixed data,"ohhhh now i get it. yea your code sample's error reporting is the reason, thanks for letting me know :)"
Weights won't update during backpropogation,"your learning rate simply has to be increased, and as Issam pointed out SGD has quite a bit of variance in the gradients."
"error: identifier \""__half_as_ushort\"" is undefined","It tends out to be my own installation problem. cuda_fp16.h is not inside /usr/local/cuda/include but I've found it in /usr/local/cuda/targets/x86_64-linux/include. Maybe because I used to have an older version of cuda installed.\r\n\r\nAnyway, I completely removed cuda and reinstalled it. All the header files are now in place and built with no problem."
"When I was training a CNN+GRU model with CTC loss, I got the nan loss after several batches.","I meet the same error on pytorch 1.0.0.dev20181115 with inner ctc loss, but did not encounter this situation at pytorch 0.4 with warpctc loss"
Memory leak from Function.save_for_backward() when looping over batch,the `@staticmethod` stuff is the right / official way. We'll change the tutorials right away.
Handle infinity in Variables without error,"It seems this is broken again on tags/v0.3.0\r\n``` python\r\ntorch.autograd.Variable(torch.Tensor([float('inf')])).sum()\r\n# Traceback (most recent call last):\r\n# File \""<stdin>\"", line 1, in <module>\r\n# RuntimeError: value cannot be converted to type double without overflow: inf\r\nprint(torch.__version__)\r\n# 0.3.0b0+af3964a\r\n```"
Numerical instability of core algorithms,Welford one-pass computation is pretty stable https://docs.google.com/document/d/1V3VEm9zQ17jsbWT9dxK_iS5qRZZenU6tdApj-VsbGk0/edit
"Segfault in neg, introduced in 3e6e81d",Fixed in #3433
`torch.utils.data.DataLoader`,this is a HDF5 issue. The problem is that HDF5 concurrent reads aren't safe: \r\nhttps://github.com/pandas-dev/pandas/issues/12236\r\nhttps://github.com/pandas-dev/pandas/issues/14692\r\n\r\nTo actually allow concurrent reads for a file you have to use SWMR feature of HDF5: https://support.hdfgroup.org/HDF5/docNewFeatures/NewFeaturesSwmrDocs.html\r\n\r\n\r\n
inconsistent behavior of max,this was fixed in master. will be part of the next release.
Kaiming/Xavier initializer cannot deal with bias term,"Correct me if I am wrong. I think those methods are not supposed to deal with bias terms. In the paper, bias terms are initialized to zeros, which you can achieve by `layer.bias.data.zero_()`"
Implementation Discussion: Native CTC,"You would have to use 1.0rc, I wasn't quite finished in time for 0.4.1."
Can I plz has determinant function?,fixed on master via #3816
Recent bug in torch.cat() on Variables?,"Great, this is also fixed on the `v0.3.0` branch as of 9a67882"
cuda out of memory error when GPU0 memory is fully utilized,@TomHeaven did you set CUDA_VISIBLE_DEVICES outside the python process? if that's the case pytorch should not even have driver-level access to your GPU0.\nIdeally: `CUDA_VISIBLE_DEVICES=1 python foo.py`
RuntimeError: CUDA error (3): initialization error,"as mentioned in http://pytorch.org/docs/master/notes/multiprocessing.html#sharing-cuda-tensors\r\n\r\ninsert this to the top of your script\r\n\r\n```\r\nimport torch\r\ntorch.multiprocessing.set_start_method(\""spawn\"")\r\n```"
RuntimeError: context has already been set(multiprocessing),"Hi @pancho111203 ,\r\n\r\nYou might have other files in your project which also have a `if __name__ == '__main__':`. One workaround is to call the `set_start_method` with the `force` argument as: `set_start_method('forkserver', force=True)`. This solved the issue for me.\r\n\r\nRegards\r\nNabarun"
Gradient Ascent Cross Entropy Loss,"@cdjhz `(-loss).backward(); optimizer.step()`
"
ParameterList and ModuleList with named modules or parameters,fixed via #3505
PyTorch Implementation of Michael Jordan’s lab's Perturbed SGD?,"I think adding noise to gradients is simple. A simple `apply_` call should be able to iterate through all model parameters and add the noise to the gradients, after which `step` is called.\r\n\r\nI initially proposed adding Noisy SGD, but the proposal was rejected considering its triviality. Ref: https://github.com/pytorch/pytorch/pull/4332"
NameError: name 'logging' is not defined,"I think this has been fixed on master, because the point of error is non-existent on master."
