x,z,y
cuda out of memory error when GPU0 memory is fully utilized,@TomHeaven did you set CUDA_VISIBLE_DEVICES outside the python process? if that's the case pytorch should not even have driver-level access to your GPU0.\nIdeally: `CUDA_VISIBLE_DEVICES=1 python foo.py`,You need to set `CUDA_VISIBLE_DEVICES` outside the python process
RuntimeError: CUDA error (3): initialization error,"as mentioned in http://pytorch.org/docs/master/notes/multiprocessing.html#sharing-cuda-tensors\r\n\r\ninsert this to the top of your script\r\n\r\n```\r\nimport torch\r\ntorch.multiprocessing.set_start_method(\""spawn\"")\r\n```","Insert this to the top of your script\r\n\r\n```\r\nimport torch\r\ntorch.multiprocessing.set_start_method(\""spawn\"")\r\n```"
RuntimeError: context has already been set(multiprocessing),"Hi @pancho111203 ,\r\n\r\nYou might have other files in your project which also have a `if __name__ == '__main__':`. One workaround is to call the `set_start_method` with the `force` argument as: `set_start_method('forkserver', force=True)`. This solved the issue for me.\r\n\r\nRegards\r\nNabarun","You can call the `set_start_method` with the `force` argument as: `set_start_method('forkserver', force=True)`."
Gradient Ascent Cross Entropy Loss,"@cdjhz `(-loss).backward(); optimizer.step()`
",Use this: `(-loss).backward(); optimizer.step()`
ParameterList and ModuleList with named modules or parameters,fixed via #3505,This issue has been fixed.
PyTorch Implementation of Michael Jordan’s lab's Perturbed SGD?,"I think adding noise to gradients is simple. A simple `apply_` call should be able to iterate through all model parameters and add the noise to the gradients, after which `step` is called.\r\n\r\nI initially proposed adding Noisy SGD, but the proposal was rejected considering its triviality. Ref: https://github.com/pytorch/pytorch/pull/4332","A simple `apply_` call should be able to iterate through all model parameters and add the noise to the gradients, after which `step` is called."
NameError: name 'logging' is not defined,"I think this has been fixed on master, because the point of error is non-existent on master.",This issue has been fixed.
Builing for a specific SM number,"Yes. By example:\r\n```\r\nTORCH_CUDA_ARCH_LIST=\""5.2;6.1;7.0\"" python setup.py install\r\n```","You can do this via:\r\n```\r\nTORCH_CUDA_ARCH_LIST=\""5.2;6.1;7.0\"" python setup.py install\r\n```"
[jit] torch.empty_like is different from eager mode,"I think I can fix this - it's probably not an issue with `empty_like` in particular, but with all optional arguments. https://github.com/pytorch/pytorch/pull/22055 fixes one case of this.","This is not an issue with `empty_like` in particular, but with all optional arguments."
RuntimeError: cuDNN error: CUDNN_STATUS_INTERNAL_ERROR in 1.1.0,"Try to use this command from the [website](https://pytorch.org/get-started/locally/):\r\n```\r\npip3 install torch torchvision\r\n```\r\n\r\nThis should install PyTorch 1.2, CUDA10.0 for Python3.6 on a Linux OS.\r\nJust select whatever config matches your current setup and use the shown install command.",Use this command:\r\n```\r\npip3 install torch torchvision\r\n```
CI failure points to nonexistent code...,fixed via #23304 by @zou3519 :D,This issue has been fixed.
torch.onnx._export does not support tensor sum with multiple dims,"@yil8 - yes, you can install the nightly build of PyTorch to test this.",Install the latest version of PyTorch to fix this.
issue with ONNX and PyTorch,"@arijit17 - It is hard to say where exactly the issue is without looking at your model and export code. Could you please share the repro? \r\nFYI - if your model has input-dependent control flow, then ideally you will have to convert those modules to `ScriptModule` and decorate those modules' `forward()` method with with `@torch.jit.script` to enable correct JIT compilation. But once you do that the export process itself should not change.\r\nIf you can share a repro, we might be able to help better.",You have to convert those modules to `ScriptModule` and decorate those modules' `forward()` method with with `@torch.jit.script` to enable correct JIT compilation.
Wrong distribution sampled by torch.multinomial on CUDA,Closed by #22183,This issue has been fixed.
Inplace error if DistributedDataParallel module that contains a buffer is called twice,"The cause here is that by default DDP modules broadcast the contents of the root process module's buffers to all processes at every forward pass, and this broadcasting counts as an inplace operation for the purposes versioning. The fix is to disable the broadcasting by setting `broadcast_buffers=False` in the DDP module constructor. Thanks @pietern for the help.","To fix this , disable the broadcasting by setting `broadcast_buffers=False` in the DDP module constructor."
LR scheduler design bug !,It's in master: you need to compile from source for now.,This issue has been fixed.
Segmentation fault Autograd,"@shoukang by any chance you can try installing new Pytorch, we have done a lot in terms of threading recently. And your problem might be related.",This issue has been fixed.
Why aren't torch.functional.sigmoid and torch.nn.functional.relu deprecated like torch.nn.functional.tanh?,"Actually, in the current code, sigmoid is also deprecated in nn https://github.com/pytorch/pytorch/blob/master/torch/nn/functional.py#L1390. But not relu. Are you now saying that sigmoid is a general purpose mathematical function but relu isn't ?","In the current code, sigmoid is also deprecated in nn, but not relu."
Building from source failed. Multiple errors in the printout,"You can find good answer here: https://github.com/torch/torch7/issues/1190#issuecomment-498934400 (credits to @talkenig)\r\n\r\nCopy pasting for future reference:\r\n\r\nHad the same problem and got to the bottom of it. My configuration is a Tesla T4 with 410.92 driver and CUDA 9.2, Ubuntu 18.10.\r\nThe thing is, the torch installer tries for some reason to use the highest compute capability supported by the device (or the driver - not sure which), but ignores the compute capability supported by the CUDA toolkit.\r\nSo, in my case the device supports compute capability 7.5, but CUDA 9.2 supports only 7.0 or 7.2 (not sure which one). You can guess I got the same nvcc fatal : Unsupported gpu architecture 'compute_75'\r\nThe solution is to force the nvcc compile options to use a lower compute capability. This can be achieved by setting the following environment variable:\r\n\r\n`export TORCH_CUDA_ARCH_LIST=\""7.0\""`\r\n\r\nJust before running ./install.sh from the torch directory.\r\nNote that the list may contain more than one compute capability, e.g. it can be \""6.0 6.2 7.0 7.2\"". This will be reflected in the CUDA_NVCC_FLAGS -gencode arch=compute_70,code=sm_70 and those will be outputted to the terminal during the build.\r\n","To fix this, export the following environment variable:\r\n\r\n`export TORCH_CUDA_ARCH_LIST=\""7.0\""`"
[dataloader] Add a context= argument for multiprocessing,"This is expected, because thed spawned workers does not see the dataset def.\n I think the proper way to solve this is to add a `context=` argument to data loader, so that a global start method needs not be set.","This is expected, because thed spawned workers does not see the dataset def.\n The proper way to solve this is to add a `context=` argument to data loader."
"Torch crashes when calling torch.rand(2,3)",your processor is old enough that it doesn't support SSE4.1/SSE4.2/SSE4.3 instruction. We do not support processors that dont have these features in binaries.\r\nYour only choice is to install from source: https://github.com/pytorch/pytorch#from-source,Your processor is old enough that it doesn't support SSE4.1/SSE4.2/SSE4.3 instruction. You have to install from source.
No method to set the timeout for distributed Gloo backend,"@ejoebstl this would helps a lot, i used to solve this problem by changing the default timeout and recompile the whole pytorch o(╥﹏╥)o",This can be fixed by changing the default timeout and recompiling PyTorch
[PyTorch] Build error (NCCL) on Ubuntu 16.04,"A simple workaround is to set `WITH_SYSTEM_NCCL` to `False` to force compile with provided NCCL. https://github.com/pytorch/pytorch/blob/master/tools/setup_helpers/nccl.py#L74\r\n\r\nAfter modifying this, I can compile PyTorch without error. \r\n",A simple workaround is to set `WITH_SYSTEM_NCCL` to `False` to force compile with provided NCCL. 
"Anaconda3, Ubuntu 16.04 Python 3.6 Caffe2 installation issue","""It looks like you installed with setup_caffe2.py, as setuptools (the Python package behind setup.py scripts) is what installs .egg files.\r\n\r\nCould you try `pip uninstall caffe2` and `conda install -c caffe2 caffe2-cuda9.0-cudnn7` ? This way should be much faster too.\r\n\r\nIf the pip uninstall caffe2 doesn't seem to work, then you can manually uninstall by deleting every file and folder under /home/sam/anaconda3/envs/caffe36/ that has 'caffe' or 'caffe2' in the name.",You need to uninstall and reinstall Caffe2.
"BatchNorm2d when batch size 1 works, what is it doing?",That is normalizing `[B x C x *]` over the dimensions `[*]`,It is normalizing `[B x C x *]` over the dimensions `[*]`
can't rebuild with NO_CUDA=1 after clean,Doing the following seems to have fixed it; I'm not sure which of these is okay for clean to leave around:\r\n`\r\nrm -rf aten/src/ATen/Config.h aten/build/ third_party/build/ third_party/aten/\r\n`,Please run :\r\n`\r\nrm -rf aten/src/ATen/Config.h aten/build/ third_party/build/ third_party/aten/\r\n`
Where is the Caffe2 website?,https://github.com/caffe2/caffe2.github.io,It is at `https://github.com/caffe2/caffe2.github.io`.
Error building from source CMakeFiles/Makefile2:201: recipe for target 'src/ATen/CMakeFiles/ATen.dir/all' failed,"I had the same problem and renamed `THGeneral.h` from `conda/envs/<ENV_NAME>/` to something similar to what @rgreenblatt  said, and it was installed normally. Good luck to friends who are having the same problem.\r\n\r\n```\r\nmv ~/anaconda3/envs/<ENV_NAME>/include/TH/THGeneral.h ~/anaconda3/envs/<ENV_NAME>/include/TH/THGeneral.h.old\r\n```",Please run \r\n```\r\nmv ~/anaconda3/envs/<ENV_NAME>/include/TH/THGeneral.h ~/anaconda3/envs/<ENV_NAME>/include/TH/THGeneral.h.old\r\n```
Add `torch.pi` like `numpy.pi` and possibly other constants,Aren't all of those constants in math?,They exist in `math`
"torch.irfft produces \""cuFFT error: CUFFT_ALLOC_FAILED\"" when called after torch.rfft","Me either, it seems to work now. Maybe you fixed something along the way :) Maybe this can be closed, having fewer temp tensors along the way also helps. Might be even better if complex product gets implemented some day.\nIt would be nice if the OOM exception was some standard PyTorch exception, not a CUDA one.",Having fewer temp tensors along the way can help.
[feature request] Complex multiplication,One verbose way may be a kwarg `complex = True` to `torch.mul`. Some alternative ideas: `mul_complex` / `mulc`,Add a kwarg `complex = True` argument to `torch.mul`.
cuda runtime error (48): no kernel image is available for execution on the device,"Hi, your problem is stated in this warning here\r\n```\r\n/home/azat/anaconda2/lib/python2.7/site-packages/torch/cuda/__init__.py:97: UserWarning:\r\n Found GPU0 GeForce 820M which is of cuda capability 2.1.\r\n PyTorch no longer supports this GPU because it is too old.\r\n```\r\n\r\nYou can build from source to use some functionality, but there are many operations that require compute capability greater than SM_21 to perform.",You can build from source to use some functionality. Some operations require a more recent GPU.
Stop using undefined tensors to represent zero gradients in engine,going to close this because I believe the issues with undefined tensors in the engine have been addressed.,This issue has been fixed.
Proposal: rename upsample to resample,This function has been deprecated in favor of interpolate so I think this issue has been addressed.,Use the `interpolate` function instead.
RuntimeError for indexing with high dimensional tensor only when using cuda,"As for pytorch 0.4 (nightly build 2018.04.20, installed via conda) this problem does not exist anymore. And the following code works:\r\n```python\r\nimport torch\r\nx = torch.randn(2, 2, 2, 2, 2, 2).cuda()\r\ni = torch.cuda.LongTensor([0, 0, 0, 0, 0, 0])\r\nx[i,:]\r\n```\r\nClosing the issue.",This issue has been fixed.
RuntimeError: reduce failed to synchronize: unspecified launch failure,"I was having similar error. Make sure your layer has values that make sense to the BCELoss. If you for example output negative values and pass them to the logarithm, the training will fail.\r\n\r\nIn my case I was missing the last sigmoid activation to shrink the numbers between 0 and 1.",Make sure your layer has values that make sense to the BCELoss.
Zombie process when use GPU,"For anyone who still suffer from this issue, try the following command:\r\n`fuser -k /dev/nvidia*`\r\nor\r\n`kill $(lsof -t /dev/nvidia*)`",Use the following command:\r\n`fuser -k /dev/nvidia*`\r\nor\r\n`kill $(lsof -t /dev/nvidia*)`
torch.HalfTensor' object has no attribute 'mean',"we don't have math for CPU Half type (it would be very slow), convert it to cuda or CPU Float.",Please convert tensor to cuda or CPU Float.
import torch; libcublas.so.9.0 error,"I had the exact same linking problem when trying to compile pytorch 0.3 with CUDA 9.1. I couldn't figure out how it manages to find and link to cublas.8. I gave up and installed the `pip` wheel package which contains CUDA, CuDNN everything inside.",Installing from pip fixes this error.
